ACCELLEROMETRI,NETWORK,CODE,NOME STAZIONE,REGIONE,PROVINCIA,COMUNE,LATITUDINE,LONGITUDINE,PGA(cm/s2)ACCUMOLI
68,IT,CNE,CASTEL SANT'ANGELO SUL NERA,MARCHE,MACERATA,CASTEL SANT'ANGELO SUL NERA,42.894402,13.1528,
69,IT,CNO,CAMERINO,MARCHE,MACERATA,CAMERINO,43.142101,13.0792,
70,IT,CONT,CONTIGLIANO,LAZIO,RIETI,CONTIGLIANO,42.409,12.766,
71,IT,CPS,CAPESTRANO,ABRUZZO,L'AQUILA,CAPESTRANO,42.271618,13.758301,11.505
72,IT,CPT,,UMBRIA,PERUGIA,CERRETO DI SPOLETO,42.8274,12.9251,
73,IV,CRM1,CASTELRAIMONDO,MARCHE,MACERATA,CASTELRAIMONDO,43.210082,13.058016,0.592
74,IT,CRO,CORTONA,TOSCANA,AREZZO,CORTONA,43.267841,11.98055,
75,IT,CSA,CASTELNUOVO-ASSISI,UMBRIA,PERUGIA,CAMNNARA,43.008015,12.590602,47.834
76,IT,CSC,CASCIA,UMBRIA,PERUGIA,CASCIA,42.719097,13.01228,104.779
77,IT,CSD,CASTEL VISCARDO,UMBRIA,TERNI,CASTEL VISCARDO,42.75048,12.003539,7.72
78,E,CSN0,CASSINO-SANT'ELIA,LAZIO,FROSINONE,SANT'ELIA FIUMERAPIDO,41.523056,13.863611,6.532
79,IT,CSO,CARSOLI,ABRUZZO,L'AQUILA,CARSOLI,42.096252,13.08346,
80,IT,CSO1,CARSOLI1,ABRUZZO,L'AQUILA,CARSOLI,42.100933,13.088044,11.411
81,IT,CSR,CASCIA-PETRUCCI,UMBRIA,PERUGIA,NORCIA,42.755,13.004167,
82,IT,CSS,CASSINO,LAZIO,FROSINONE,CASSINO,41.48579,13.82309,1.941
83,IT,CSV,CASTELNUOVO-SAN PIO,ABRUZZO,L'AQUILA,SAN PIO DELLE CAMERE,42.2975,13.629167,
84,IT,CTC,CITTA' DI CASTELLO,UMBRIA,PERUGIA,CITTA' DI CASTELLO,43.463056,12.253056,
85,IT,CTD,CITTADUCALE,LAZIO,RIETI,CITTADUCALE,42.388366,12.947702,31.391
86,IT,FAA,,ABRUZZO,TERAMO,FANO ADRIANO,42.552898,13.5372,
87,IT,FBR,FABRIANO,MARCHE,ANCONA,FABRIANO,43.343601,12.9119,46.695
88,IT,FCC,FORCA CANAPINE,UMBRIA,PERUGIA,NORCIA,42.754501,13.1932,
89,IV,FEMA,MONTE FEMA,MARCHE,MACERATA,VISSO,42.9621,13.0498,242.336
90,IT,FHC,FORCA CANAPINE(ARQUATA TRONTO),MARCHE,ASCOLI PICENO,ARQUATA DEL TRONTO,42.761111,13.210278,
91,IV,FIAM,FIAMIGNANO,LAZIO,RIETI,FIAMIGNANO,42.26802,13.11718,
92,IV,FIU1,FIUMINATA,MARCHE,MACERATA,FIUMINATA,43.188561,12.931604,38.4
93,IT,FLT,FILETTINO,LAZIO,FROSINONE,FILETTINO,41.8932,13.325,3.869
94,IT,FMG,FIAMIGNANO,LAZIO,RIETI,FIAMIGNANO,42.268028,13.11722,16.91
95,IT,FMT,,MARCHE,MACERATA,FIUMINATA,43.188,12.9332,
96,IT,FOC,FOLIGNO COLFIORITO,UMBRIA,PERUGIA,FOLIGNO,43.0263,12.896596,322.536
97,IT,FOCC,,UMBRIA,PERUGIA,FOLIGNO,42.957401,12.7079,
98,IT,FOPC,FOLIGNO NORD,UMBRIA,PERUGIA,FOLIGNO,42.9697,12.7031,
99,IT,FORC,FORCELLA,MARCHE,MACERATA,SERRAVALLE DI CHIENTI,42.961,12.952,
100,IT,FOS,FOLIGNO SEGGIO,UMBRIA,PERUGIA,FOLIGNO,43.01459,12.83513,74.99
101,IV,FOSV,FOSSATO DI VICO,UMBRIA,PERUGIA,FOSSATO DI VICO,43.29483,12.76117,27.836
102,IT,FRT,FERENTINO,LAZIO,FROSINONE,FERENTINO,41.6926,13.255,4.826
103,IV,GAG1,GAGLIOLO,MARCHE,MACERATA,GAGLIONE,43.2381,13.0674,89.474
104,IT,GBB,GUBBIO,UMBRIA,PERUGIA,GUBBIO,43.356972,12.597252,18.502
105,IT,GBC,GUBBIO,UMBRIA,PERUGIA,GUBBIO,43.355301,12.5726,11.342
106,IT,GBP,GUBBIO PIANA,UMBRIA,PERUGIA,GUBBIO,43.31381,12.58949,34.775
107,IT,GLT,GUALDO TADINO,UMBRIA,PERUGIA,GUALDO TADINO,43.233101,12.789001,29.228
